path	pred	true	confidence	correct
./dataset/val/fire/distant_fire_1.jpeg	fire	fire	0.795893	1
./dataset/val/fire/distant_fire_10.jpeg	nofire	fire	0.750503	0
./dataset/val/fire/distant_fire_100.jpeg	nofire	fire	0.923736	0
./dataset/val/fire/distant_fire_101.jpeg	nofire	fire	0.825919	0
./dataset/val/fire/distant_fire_102.jpeg	nofire	fire	0.855745	0
./dataset/val/fire/distant_fire_103.jpeg	nofire	fire	0.926564	0
./dataset/val/fire/distant_fire_104.jpeg	fire	fire	0.749907	1
./dataset/val/fire/distant_fire_105.jpeg	nofire	fire	0.983133	0
./dataset/val/fire/distant_fire_11.jpeg	nofire	fire	0.884447	0
./dataset/val/fire/distant_fire_12.jpeg	nofire	fire	0.505337	0
./dataset/val/fire/distant_fire_13.jpeg	nofire	fire	0.985867	0
./dataset/val/fire/distant_fire_14.jpeg	nofire	fire	0.845444	0
./dataset/val/fire/distant_fire_15.jpeg	nofire	fire	0.725317	0
./dataset/val/fire/distant_fire_16.jpeg	nofire	fire	0.542712	0
./dataset/val/fire/distant_fire_17.jpeg	nofire	fire	0.597744	0
./dataset/val/fire/distant_fire_18.jpeg	nofire	fire	0.938436	0
./dataset/val/fire/distant_fire_19.jpeg	nofire	fire	0.957290	0
./dataset/val/fire/distant_fire_2.jpeg	nofire	fire	0.727819	0
./dataset/val/fire/distant_fire_20.jpeg	fire	fire	0.535196	1
./dataset/val/fire/distant_fire_21.jpeg	nofire	fire	0.644421	0
./dataset/val/fire/distant_fire_22.jpeg	nofire	fire	0.870987	0
./dataset/val/fire/distant_fire_23.jpeg	nofire	fire	0.521455	0
./dataset/val/fire/distant_fire_24.jpeg	nofire	fire	0.929924	0
./dataset/val/fire/distant_fire_25.jpeg	nofire	fire	0.967041	0
./dataset/val/fire/distant_fire_26.jpeg	nofire	fire	0.873124	0
./dataset/val/fire/distant_fire_27.jpeg	nofire	fire	0.925414	0
./dataset/val/fire/distant_fire_28.jpeg	fire	fire	0.575675	1
./dataset/val/fire/distant_fire_29.jpeg	nofire	fire	0.969454	0
./dataset/val/fire/distant_fire_3.jpeg	nofire	fire	0.619640	0
./dataset/val/fire/distant_fire_30.jpeg	nofire	fire	0.852478	0
./dataset/val/fire/distant_fire_31.jpeg	nofire	fire	0.942758	0
./dataset/val/fire/distant_fire_32.jpeg	fire	fire	0.527096	1
./dataset/val/fire/distant_fire_33.jpeg	fire	fire	0.556516	1
./dataset/val/fire/distant_fire_34.jpeg	nofire	fire	0.948344	0
./dataset/val/fire/distant_fire_35.jpeg	fire	fire	0.615600	1
./dataset/val/fire/distant_fire_36.jpeg	fire	fire	0.841564	1
./dataset/val/fire/distant_fire_37.jpeg	nofire	fire	0.941920	0
./dataset/val/fire/distant_fire_38.jpeg	nofire	fire	0.891942	0
./dataset/val/fire/distant_fire_39.jpeg	nofire	fire	0.973221	0
./dataset/val/fire/distant_fire_4.jpeg	nofire	fire	0.949390	0
./dataset/val/fire/distant_fire_40.jpeg	fire	fire	0.576530	1
./dataset/val/fire/distant_fire_41.jpeg	nofire	fire	0.879215	0
./dataset/val/fire/distant_fire_42.jpeg	fire	fire	0.806171	1
./dataset/val/fire/distant_fire_43.jpeg	fire	fire	0.534630	1
./dataset/val/fire/distant_fire_44.jpeg	nofire	fire	0.778060	0
./dataset/val/fire/distant_fire_45.jpeg	nofire	fire	0.819501	0
./dataset/val/fire/distant_fire_46.jpeg	nofire	fire	0.773361	0
./dataset/val/fire/distant_fire_47.jpeg	nofire	fire	0.738913	0
./dataset/val/fire/distant_fire_5.jpeg	nofire	fire	0.797066	0
./dataset/val/fire/distant_fire_50.jpeg	nofire	fire	0.733798	0
./dataset/val/fire/distant_fire_52.jpeg	fire	fire	0.556446	1
./dataset/val/fire/distant_fire_53.jpeg	nofire	fire	0.624265	0
./dataset/val/fire/distant_fire_54.jpeg	nofire	fire	0.810984	0
./dataset/val/fire/distant_fire_55.jpeg	nofire	fire	0.806780	0
./dataset/val/fire/distant_fire_56.jpeg	fire	fire	0.764169	1
./dataset/val/fire/distant_fire_57.jpeg	nofire	fire	0.888792	0
./dataset/val/fire/distant_fire_58.jpeg	nofire	fire	0.798891	0
./dataset/val/fire/distant_fire_59.jpeg	nofire	fire	0.621907	0
./dataset/val/fire/distant_fire_6.webp	fire	fire	0.555602	1
./dataset/val/fire/distant_fire_60.jpeg	nofire	fire	0.675927	0
./dataset/val/fire/distant_fire_61.jpeg	nofire	fire	0.978836	0
./dataset/val/fire/distant_fire_62.jpeg	nofire	fire	0.787367	0
./dataset/val/fire/distant_fire_63.jpeg	fire	fire	0.761326	1
./dataset/val/fire/distant_fire_64.jpeg	nofire	fire	0.728715	0
./dataset/val/fire/distant_fire_65.png	fire	fire	0.759778	1
./dataset/val/fire/distant_fire_66.jpeg	fire	fire	0.574618	1
./dataset/val/fire/distant_fire_67.jpeg	nofire	fire	0.958434	0
./dataset/val/fire/distant_fire_68.jpeg	fire	fire	0.526888	1
./dataset/val/fire/distant_fire_69.jpeg	fire	fire	0.727119	1
./dataset/val/fire/distant_fire_7.jpeg	fire	fire	0.525385	1
./dataset/val/fire/distant_fire_70.jpeg	nofire	fire	0.809376	0
./dataset/val/fire/distant_fire_71.jpeg	fire	fire	0.533570	1
./dataset/val/fire/distant_fire_72.jpeg	fire	fire	0.843099	1
./dataset/val/fire/distant_fire_73.jpeg	fire	fire	0.593347	1
./dataset/val/fire/distant_fire_74.jpeg	nofire	fire	0.689394	0
./dataset/val/fire/distant_fire_75.jpeg	nofire	fire	0.528514	0
./dataset/val/fire/distant_fire_77.jpeg	nofire	fire	0.972502	0
./dataset/val/fire/distant_fire_78.jpeg	nofire	fire	0.726189	0
./dataset/val/fire/distant_fire_79.jpeg	nofire	fire	0.747825	0
./dataset/val/fire/distant_fire_8.jpeg	nofire	fire	0.980178	0
./dataset/val/fire/distant_fire_80.jpeg	fire	fire	0.655237	1
./dataset/val/fire/distant_fire_81.jpeg	fire	fire	0.802511	1
./dataset/val/fire/distant_fire_82.jpeg	nofire	fire	0.901067	0
./dataset/val/fire/distant_fire_83.jpeg	nofire	fire	0.942287	0
./dataset/val/fire/distant_fire_84.jpeg	nofire	fire	0.921020	0
./dataset/val/fire/distant_fire_86.jpeg	fire	fire	0.774708	1
./dataset/val/fire/distant_fire_88.jpeg	fire	fire	0.567375	1
./dataset/val/fire/distant_fire_9.jpeg	nofire	fire	0.681594	0
./dataset/val/fire/distant_fire_90.jpeg	nofire	fire	0.551781	0
./dataset/val/fire/distant_fire_91.jpeg	nofire	fire	0.971385	0
./dataset/val/fire/distant_fire_92.jpeg	nofire	fire	0.560727	0
./dataset/val/fire/distant_fire_93.jpeg	nofire	fire	0.609781	0
./dataset/val/fire/distant_fire_95.jpeg	nofire	fire	0.505373	0
./dataset/val/fire/distant_fire_96.jpeg	nofire	fire	0.748602	0
./dataset/val/fire/distant_fire_97.jpeg	nofire	fire	0.909954	0
./dataset/val/fire/distant_fire_98.webp	fire	fire	0.539541	1
./dataset/val/fire/distant_fire_99.jpeg	nofire	fire	0.820620	0
./dataset/val/fire/fire_100.jpeg	nofire	fire	0.892238	0
./dataset/val/fire/fire_101.jpeg	nofire	fire	0.840044	0
./dataset/val/fire/fire_102.jpeg	fire	fire	0.547048	1
./dataset/val/fire/fire_103.jpeg	nofire	fire	0.844100	0
./dataset/val/fire/fire_104.jpeg	nofire	fire	0.831951	0
./dataset/val/fire/fire_105.jpeg	nofire	fire	0.886857	0
./dataset/val/fire/fire_106.jpeg	fire	fire	0.687863	1
./dataset/val/fire/fire_107.jpeg	nofire	fire	0.655864	0
./dataset/val/fire/fire_108.jpeg	fire	fire	0.901317	1
./dataset/val/fire/fire_109.jpeg	fire	fire	0.739649	1
./dataset/val/fire/fire_110.jpeg	nofire	fire	0.696226	0
./dataset/val/fire/fire_111.jpeg	nofire	fire	0.689886	0
./dataset/val/fire/fire_112.jpeg	fire	fire	0.786234	1
./dataset/val/fire/fire_113.jpeg	nofire	fire	0.537042	0
./dataset/val/fire/fire_114.jpeg	fire	fire	0.712529	1
./dataset/val/fire/fire_115.jpeg	fire	fire	0.887938	1
./dataset/val/fire/fire_116.jpeg	fire	fire	0.781559	1
./dataset/val/fire/fire_117.jpeg	fire	fire	0.681784	1
./dataset/val/fire/fire_118.jpeg	nofire	fire	0.975669	0
./dataset/val/fire/fire_119.jpeg	fire	fire	0.844818	1
./dataset/val/fire/fire_120.jpeg	fire	fire	0.861481	1
./dataset/val/fire/fire_121.jpeg	nofire	fire	0.929858	0
./dataset/val/fire/fire_122.png	fire	fire	0.500266	1
./dataset/val/fire/fire_123.jpeg	fire	fire	0.716314	1
./dataset/val/fire/fire_124.jpeg	fire	fire	0.717425	1
./dataset/val/fire/fire_125.jpeg	fire	fire	0.664823	1
./dataset/val/fire/fire_126.jpeg	nofire	fire	0.734915	0
./dataset/val/fire/fire_127.jpeg	nofire	fire	0.924628	0
./dataset/val/fire/fire_128.jpeg	fire	fire	0.637130	1
./dataset/val/fire/fire_129.jpeg	nofire	fire	0.896791	0
./dataset/val/fire/fire_130.jpeg	nofire	fire	0.652023	0
./dataset/val/fire/fire_131.jpeg	fire	fire	0.881468	1
./dataset/val/fire/fire_132.jpeg	nofire	fire	0.724998	0
./dataset/val/fire/fire_133.jpeg	nofire	fire	0.622572	0
./dataset/val/fire/fire_134.jpeg	fire	fire	0.508193	1
./dataset/val/fire/fire_135.jpeg	fire	fire	0.917645	1
./dataset/val/fire/fire_136.jpeg	fire	fire	0.960031	1
./dataset/val/fire/fire_137.jpeg	fire	fire	0.851484	1
./dataset/val/fire/fire_138.jpeg	fire	fire	0.714226	1
./dataset/val/fire/fire_139.jpeg	fire	fire	0.921059	1
./dataset/val/fire/fire_140.jpeg	nofire	fire	0.907775	0
./dataset/val/fire/fire_141.jpeg	nofire	fire	0.528025	0
